Seq,Name,m_Name,RAJ2000,DEJ2000,Sp,Mass,e_Mass,Rad,e_Rad,logg,e_logg,Teff,e_Teff,Remark,SimbadName
147,V578 Mon,p,06 32 00.61,+04 52 40.90,B1V,14.5400,0.0800,5.4100,0.0400,4.135,0.007,30000,500,*,V578 Mon
148,V578 Mon,s,06 32 00.61,+04 52 40.90,B,10.2900,0.0600,4.2900,0.0500,4.186,0.010,25750,435,*,V578 Mon
149,WW Aur,p,06 32 27.18,+32 27 17.63,A4m,1.9640,0.0070,1.9280,0.0110,4.161,0.005,7960,420,*,WW Aur
150,WW Aur,s,06 32 27.18,+32 27 17.63,A5m,1.8140,0.0070,1.8420,0.0110,4.166,0.005,7670,410,*,WW Aur
151,V501 Mon,p,06 40 41.72,-01 06 40.00,A6m,1.6455,0.0043,1.8880,0.0290,4.103,0.013,7510,100,*,V501 Mon
152,V501 Mon,s,06 40 41.72,-01 06 40.00,F0,1.4588,0.0025,1.5920,0.0280,4.198,0.015,7000,90,*,V501 Mon
153,SV Cam,p,06 41 19.07,+82 16 02.42,F5V,1.5750,0.0640,1.4700,0.0530,4.301,0.036,6038,58,**,SV Cam
154,SV Cam,s,06 41 19.07,+82 16 02.42,K4V,0.9340,0.0640,1.0010,0.0640,4.408,0.063,4804,143,***,SV Cam
155,GX Gem,p,06 46 09.13,+34 24 52.83,F7V,1.4880,0.0110,2.3340,0.0120,3.875,0.006,6194,100,*,GX Gem
156,GX Gem,s,06 46 09.13,+34 24 52.83,F7V,1.4670,0.0100,2.2440,0.0120,3.903,0.006,6166,100,*,GX Gem
157,CoRoT 102932176,p,06 49 11.00,-01 59 30.00,F0V,1.5800,0.1800,1.6300,0.0500,4.213,0.056,7300,50,***,CoRoT 102932176
158,CoRoT 102932176,s,06 49 11.00,-01 59 30.00,K4V,0.6400,0.0800,0.7300,0.0200,4.518,0.059,4547,80,***,CoRoT 102932176
159,HS Aur,p,06 51 18.47,+47 40 24.16,G8V,0.8980,0.0190,1.0050,0.0230,4.387,0.022,5350,70,*,HS Aur
160,HS Aur,s,06 51 18.47,+47 40 24.16,K0V,0.8770,0.0170,0.8740,0.0300,4.498,0.031,5200,72,**,HS Aur
161,HI Mon,p,06 55 49.07,-04 02 35.79,B0V,11.4260,0.2410,4.7750,0.1020,4.138,0.021,30000,500,*,HI Mon
162,HI Mon,s,06 55 49.07,-04 02 35.79,B0.5V,9.8640,0.1620,4.6450,0.0650,4.098,0.014,29000,500,*,HI Mon
163,LT CMa,p,07 04 02.62,-12 17 17.37,B4V,5.5910,0.2000,3.6000,0.0700,4.073,0.023,17000,500,**,LT CMa
164,LT CMa,s,07 04 02.62,-12 17 17.37,B6.5V,3.3640,0.1400,2.0460,0.0500,4.343,0.028,13140,800,**,LT CMa
165,SW CMa,p,07 08 15.24,-22 26 25.26,A4,2.2400,0.0140,3.0150,0.0200,3.830,0.006,8200,150,*,SW CMa
166,SW CMa,s,07 08 15.24,-22 26 25.26,A5,2.1050,0.0180,2.4960,0.0420,3.967,0.015,8100,150,*,SW CMa
167,HW CMa,p,07 08 21.86,-22 24 29.87,A6,1.7190,0.0110,1.6490,0.0180,4.239,0.010,7560,150,*,HW CMa
168,HW CMa,s,07 08 21.86,-22 24 29.87,A6,1.7790,0.0120,1.6680,0.0210,4.244,0.011,7700,150,*,HW CMa
169,GZ CMa,p,07 16 19.21,-16 43 00.10,A3Vm,2.2010,0.0250,2.4900,0.0300,3.989,0.012,8810,350,*,GZ CMa
170,GZ CMa,s,07 16 19.21,-16 43 00.10,A4 V,2.0010,0.0250,2.1300,0.0400,4.083,0.017,8531,340,*,GZ CMa
171,FS Mon,p,07 24 42.30,-05 09 14.57,F2V,1.6320,0.0120,2.0610,0.0120,4.023,0.006,6715,100,*,FS Mon
172,FS Mon,s,07 24 42.30,-05 09 14.57,F4V,1.4620,0.0100,1.6370,0.0120,4.175,0.007,6550,100,*,FS Mon
173,YY Gem,p,07 34 37.41,+31 52 09.79,M1Ve,0.5980,0.0050,0.6210,0.0060,4.629,0.009,3820,100,*,YY Gem
174,YY Gem,s,07 34 37.41,+31 52 09.79,M1Ve,0.6010,0.0050,0.6050,0.0060,4.654,0.009,3820,100,*,YY Gem
175,MG1-506664,p,07 43 11.57,+03 16 22.09,M1V,0.5840,0.0020,0.5590,0.0020,4.710,0.003,3730,90,*,MOTESS-GNAT 506664
176,MG1-506664,s,07 43 11.57,+03 16 22.09,M2V,0.5440,0.0020,0.5120,0.0040,4.755,0.007,3610,90,*,MOTESS-GNAT 506664
177,PV Pup,p,07 45 28.73,-14 41 10.20,A0V,1.5390,0.0120,1.5360,0.0160,4.253,0.010,6920,300,*,PV Pup
178,PV Pup,s,07 45 28.73,-14 41 10.20,A2V,1.5270,0.0140,1.4930,0.0160,4.274,0.010,6930,300,*,PV Pup
179,MW Pup,p,07 56 01.70,-44 54 46.62,A3V,2.2000,0.0600,1.8400,0.0300,4.251,0.018,8502,200,*,MW Pup
180,MW Pup,s,07 56 01.70,-44 54 46.62,A3V,1.8800,0.0700,1.7200,0.0300,4.241,0.022,8026,222,**,MW Pup
181,V392 Car,p,07 58 10.48,-60 51 57.20,A2V,1.9000,0.0240,1.6240,0.0300,4.296,0.017,8850,200,*,V392 Car
182,V392 Car,s,07 58 10.48,-60 51 57.20,A2V,1.8530,0.0240,1.6000,0.0310,4.298,0.018,8650,200,*,V392 Car
183,CN Lyn,p,08 01 37.20,+38 44 58.40,F3V,1.0380,0.0200,1.7990,0.2100,3.944,0.102,6500,250,2,CN Lyn
184,CN Lyn,s,08 01 37.20,+38 44 58.40,F4V,1.0380,0.0200,1.8390,0.2400,3.925,0.114,6455,260,2,CN Lyn
185,AI Hya,p,08 18 47.46,+00 17 00.16,F0IV,1.9740,0.0400,2.7640,0.0200,3.851,0.011,7100,60,*,AI Hya
186,AI Hya,s,08 18 47.46,+00 17 00.16,F2III-IV,2.1400,0.0400,3.9120,0.0300,3.584,0.011,6700,60,*,AI Hya
187,NSVS 07394765,p,08 25 51.30,+24 27 05.10,M2V,0.3600,0.0050,0.4630,0.0040,4.663,0.010,3300,200,2,NSVS 07394765
188,NSVS 07394765,s,08 25 51.30,+24 27 05.10,M4V,0.1800,0.0040,0.4960,0.0050,4.303,0.013,3106,125,2,NSVS 07394765
189,ASAS-08,p,08 25 51.60,-16 22 47.30,K,0.7030,0.0030,0.6940,0.0090,4.603,0.011,4350,200,*,ASAS J082552-1622.8
190,ASAS-08,s,08 25 51.60,-16 22 47.30,K,0.6870,0.0030,0.6990,0.0130,4.586,0.016,4090,200,*,ASAS J082552-1622.8
191,AY Cam,p,08 25 51.79,+77 13 06.85,A8V,1.9470,0.0410,2.7840,0.0200,3.838,0.011,7250,100,*,AY Cam
192,AY Cam,s,08 25 51.79,+77 13 06.85,F0V,1.7070,0.0360,2.0340,0.0150,4.054,0.011,7395,100,*,AY Cam
193,VV Pyx,p,08 27 33.27,-20 50 38.25,A1V,2.0970,0.0180,2.1690,0.0200,4.087,0.009,9500,200,*,VV Pyx
194,VV Pyx,s,08 27 33.27,-20 50 38.25,A1V,2.0940,0.0180,2.1690,0.2000,4.087,0.080,9500,200,***,VV Pyx
195,HD 71636,p,08 29 56.31,+37 04 15.48,F2V,1.5300,0.0090,1.5760,0.0090,4.228,0.006,6950,140,*,HD 71636
196,HD 71636,s,08 29 56.31,+37 04 15.48,F5V,1.2990,0.0070,1.3650,0.0080,4.282,0.006,6440,140,*,HD 71636
197,CU Cnc,p,08 31 37.58,+19 23 39.47,M3.5Ve,0.4270,0.0020,0.4330,0.0050,4.796,0.010,3160,150,*,CU Cnc
198,CU Cnc,s,08 31 37.58,+19 23 39.47,M3.5Ve,0.3940,0.0010,0.3920,0.0090,4.847,0.020,3125,150,*,CU Cnc
199,VZ Hya,p,08 31 41.41,-06 19 07.56,F5V,1.2710,0.0090,1.3150,0.0050,4.305,0.005,6645,150,*,VZ Hya
200,VZ Hya,s,08 31 41.41,-06 19 07.56,F7V,1.1460,0.0060,1.1130,0.0070,4.405,0.006,6290,150,*,VZ Hya
201,TZ Pyx,p,08 41 08.26,-32 12 03.02,A8/9V,2.0750,0.0400,2.3560,0.0330,4.011,0.015,7468,203,*,TZ Pyx
202,TZ Pyx,s,08 41 08.26,-32 12 03.02,A8/9V,2.0030,0.0790,2.0260,0.0310,4.127,0.022,7521,208,**,TZ Pyx
203,RS Cha,p,08 43 12.21,-79 04 12.29,A8V,1.8230,0.0120,2.1500,0.0600,4.034,0.024,7638,76,*,RS Cha
204,RS Cha,s,08 43 12.21,-79 04 12.29,A8V,1.7640,0.0120,2.3600,0.0600,3.939,0.022,7228,72,*,RS Cha
205,V467 Vel,p,08 43 49.80,-46 07 08.83,O6.5V(f),25.3000,0.7000,9.9900,0.0900,3.842,0.014,36200,,*,V467 Vel
206,V467 Vel,s,08 43 49.80,-46 07 08.83,,8.2500,0.1700,3.4900,0.0300,4.269,0.012,25260,80,*,V467 Vel
207,NSVS 02502726,p,08 44 11.04,+54 23 47.32,K3V,0.6890,0.0160,0.7070,0.0070,4.578,0.013,4295,200,*,NSVS 02502726
208,NSVS 02502726,s,08 44 11.04,+54 23 47.32,M2V,0.3410,0.0090,0.6570,0.0080,4.336,0.016,3812,200,2,NSVS 02502726
209,del Vel,p,08 44 42.23,-54 42 31.76,A1V,3.1910,0.0260,3.2090,0.0430,3.930,0.012,9450,,*,del Vel
210,del Vel,s,08 44 42.23,-54 42 31.76,A1V,2.9870,0.0260,2.7230,0.0540,4.043,0.018,9830,,*,del Vel
211,CV Vel,p,09 00 37.99,-51 33 20.06,B2.5V,6.0670,0.0110,4.0800,0.0300,4.000,0.006,18000,500,*,CV Vel
212,CV Vel,s,09 00 37.99,-51 33 20.06,B2.5V,5.9520,0.0110,3.9400,0.0300,4.022,0.007,17780,500,*,CV Vel
213,XY UMa,p,09 09 55.94,+54 29 17.71,G9V,1.0970,0.0730,1.1610,0.0200,4.349,0.033,5200,7,***,XY UMa
214,XY UMa,s,09 09 55.94,+54 29 17.71,K7V,0.6650,0.0310,0.6300,0.0100,4.662,0.024,4125,7,**,XY UMa
215,PT Vel,p,09 10 57.72,-43 16 02.93,A1V,2.1990,0.0160,2.0950,0.0200,4.138,0.009,9247,150,*,PT Vel
216,PT Vel,s,09 10 57.72,-43 16 02.93,A6V,1.6260,0.0090,1.5600,0.0200,4.263,0.011,7638,180,*,PT Vel
217,KW Hya,p,09 12 26.04,-07 06 35.38,A5Vm,1.9730,0.0360,2.1290,0.0150,4.077,0.010,8000,200,*,KW Hya
218,KW Hya,s,09 12 26.04,-07 06 35.38,F0-1V,1.4850,0.0170,1.4860,0.0220,4.266,0.014,6900,200,*,KW Hya
219,ASAS-09,p,09 38 13.51,-01 04 27.90,K,0.7580,0.0320,0.7690,0.0120,4.546,0.023,4360,150,**,ASAS J093813-0104.3
220,ASAS-09,s,09 38 13.51,-01 04 27.90,K,0.7610,0.0210,0.7660,0.0130,4.551,0.019,4360,150,*,ASAS J093813-0104.3
221,QX Car,p,09 54 33.88,-58 25 16.59,B3V,9.2460,0.1200,4.2930,0.0600,4.139,0.013,23800,500,*,QX Car
222,QX Car,s,09 54 33.88,-58 25 16.59,B3V,8.4600,0.1200,4.0530,0.0600,4.150,0.014,22600,500,*,QX Car
223,TYC 4896-1029-1,p,09 57 06.62,-01 20 38.31,,1.2900,0.0900,1.3500,0.0100,4.288,0.031,6440,,***,TYC 4896-1029-1
224,TYC 4896-1029-1,s,09 57 06.62,-01 20 38.31,,1.3300,0.0900,1.3600,0.0100,4.295,0.030,6160,195,***,TYC 4896-1029-1
225,HS Hya,p,10 24 36.77,-19 05 32.96,F4V,1.2550,0.0080,1.2780,0.0070,4.324,0.006,6500,50,*,HS Hya
226,HS Hya,s,10 24 36.77,-19 05 32.96,F4V,1.2190,0.0070,1.2200,0.0070,4.352,0.006,6400,50,*,HS Hya
227,ZZ UMa,p,10 30 03.19,+61 48 41.42,F8V,1.1790,0.0130,1.5180,0.0230,4.147,0.014,5903,60,*,ZZ UMa
228,ZZ UMa,s,10 30 03.19,+61 48 41.42,G6V,0.9600,0.0100,1.1580,0.0130,4.293,0.011,5097,60,*,ZZ UMa
229,MG1-646680,p,10 30 55.21,+03 34 26.57,M1V,0.4990,0.0020,0.4570,0.0050,4.817,0.010,3720,20,*,MOTESS-GNAT 646680
230,MG1-646680,s,10 30 55.21,+03 34 26.57,M2V,0.4440,0.0020,0.4270,0.0040,4.825,0.008,3630,20,*,MOTESS-GNAT 646680
231,UV Leo,p,10 38 20.77,+14 16 03.67,G0V,1.1260,0.0900,0.9580,0.0240,4.527,0.041,6129,67,***,UV Leo
232,UV Leo,s,10 38 20.77,+14 16 03.67,G2V,1.0800,0.0970,1.1970,0.0420,4.316,0.050,5741,59,***,UV Leo
233,RZ Cha,p,10 42 24.10,-82 02 14.19,F5V,1.5060,0.0350,2.2820,0.0200,3.900,0.013,6457,160,*,RZ Cha
234,RZ Cha,s,10 42 24.10,-82 02 14.19,F5V,1.5140,0.0400,2.2820,0.0200,3.902,0.014,6457,160,*,RZ Cha
235,DW Car,p,10 43 10.07,-60 02 11.74,B1V,11.3410,0.1200,4.5610,0.0450,4.175,0.010,27900,1000,*,DW Car
236,DW Car,s,10 43 10.07,-60 02 11.74,B1V,10.6260,0.1400,4.2990,0.0550,4.198,0.012,26500,1000,*,DW Car
237,UW LMi,p,10 43 30.20,+28 41 09.08,F8V,1.1560,0.0220,1.2690,0.0520,4.294,0.037,6500,250,**,UW LMi
238,UW LMi,s,10 43 30.20,+28 41 09.08,F8V,1.1360,0.0220,1.2480,0.0620,4.301,0.044,6500,250,**,UW LMi
239,chi02 Hya,p,11 05 57.57,-27 17 16.27,B8,3.6050,0.0800,4.4840,0.0410,3.692,0.012,11750,190,*,chi02 Hya
240,chi02 Hya,s,11 05 57.57,-27 17 16.27,B9,2.6320,0.0500,2.2060,0.0410,4.171,0.018,11100,230,*,chi02 Hya
241,EM Car,p,11 12 04.51,-61 05 42.93,O8V,22.8330,0.3190,9.3560,0.1700,3.855,0.017,34000,2000,*,EM Car
242,EM Car,s,11 12 04.51,-61 05 42.93,O8V,21.3760,0.3290,8.3450,0.1600,3.925,0.018,34000,2000,*,EM Car
243,LSPM J1112+7626,p,11 12 42.32,+76 26 56.40,M4V,0.3950,0.0020,0.3810,0.0050,4.873,0.012,3061,162,*,LSPM J1112+7626
244,LSPM J1112+7626,s,11 12 42.32,+76 26 56.40,M,0.2740,0.0010,0.3000,0.0050,4.922,0.015,2952,163,*,LSPM J1112+7626
245,FM Leo,p,11 12 45.09,+00 20 52.84,F9V,1.3180,0.0070,1.6490,0.0430,4.124,0.023,6316,240,*,FM Leo
246,FM Leo,s,11 12 45.09,+00 20 52.84,F9V,1.2870,0.0070,1.5120,0.0490,4.189,0.028,6190,211,**,FM Leo
247,V346 Cen,p,11 42 49.68,-62 26 05.40,B0.5IV,12.0000,0.0700,8.2480,0.0140,3.685,0.003,27141,,*,V346 Cen
248,V346 Cen,s,11 42 49.68,-62 26 05.40,B2V,8.4700,0.1000,4.1180,0.0150,4.137,0.006,25376,18,*,V346 Cen
249,MW UMa,p,11 43 02.28,+60 34 36.64,F6V,1.2570,0.0950,1.2580,0.0100,4.338,0.034,6514,130,***,MW UMa
250,MW UMa,s,11 43 02.28,+60 34 36.64,F9V,1.1240,0.0910,1.1380,0.0100,4.377,0.036,6112,22,***,MW UMa
251,EP Cru,p,12 37 16.75,-56 47 17.38,B5V,5.0200,0.1300,3.5900,0.0350,4.029,0.014,15700,500,*,EP Cru
252,EP Cru,s,12 37 16.75,-56 47 17.38,B5V,4.8300,0.1300,3.4950,0.0340,4.035,0.014,15400,500,*,EP Cru
253,VV Crv,p,12 41 15.95,-13 00 50.00,F5V,1.9780,0.0100,3.3750,0.0100,3.678,0.003,6500,200,*,VV Crv
254,VV Crv,s,12 41 15.95,-13 00 50.00,F5V,1.5130,0.0080,1.6500,0.0080,4.183,0.005,6638,200,*,VV Crv
255,IM Vir,p,12 49 38.70,-06 04 44.86,G7V,0.9810,0.0120,1.0620,0.0160,4.378,0.014,5570,100,*,IM Vir
256,IM Vir,s,12 49 38.70,-06 04 44.86,K7V,0.6640,0.0050,0.6810,0.0130,4.594,0.017,4250,130,*,IM Vir
257,HY Vir,p,13 08 29.92,-02 40 44.38,F0m,1.8380,0.0090,2.8300,0.0080,3.799,0.003,7870,,*,HY Vir
258,HY Vir,s,13 08 29.92,-02 40 44.38,F5V,1.4040,0.0060,1.5320,0.0080,4.215,0.005,6546,,*,HY Vir
259,eta Mus,p,13 15 14.94,-67 53 40.52,B8V,3.2830,0.0400,2.1400,0.0200,4.294,0.010,12700,100,*,eta Mus
260,eta Mus,s,13 15 14.94,-67 53 40.52,B8V,3.2820,0.0400,2.1300,0.0400,4.298,0.017,12550,300,*,eta Mus
261,SZ Cen,p,13 50 35.09,-58 29 57.11,A7V,2.2720,0.0250,4.5550,0.0230,3.478,0.006,8000,300,*,SZ Cen
262,SZ Cen,s,13 50 35.09,-58 29 57.11,A7V,2.3110,0.0210,3.6220,0.0210,3.684,0.006,8280,300,*,SZ Cen
263,V1200 Cen,p,13 52 17.51,-38 37 16.82,F5V,1.3940,0.0300,1.3900,0.1500,4.297,0.094,6266,94,***,V1200 Cen
264,V1200 Cen,s,13 52 17.51,-38 37 16.82,,0.8660,0.0150,1.1000,0.2500,4.293,0.198,4650,900,1,V1200 Cen
265,EPIC 212651213A,p,13 55 43.47,-09 25 05.83,,0.9400,0.0600,0.8600,0.1200,4.542,0.124,5475,200,***,EPIC 212651213
266,EPIC 212651213A,s,13 55 43.47,-09 25 05.83,,0.8900,0.0500,0.8000,0.0900,4.582,0.101,5250,200,***,EPIC 212651213
267,ZZ Boo,p,13 56 09.52,+25 55 07.36,F3V,1.6160,0.0100,2.1640,0.0700,3.976,0.028,6860,20,**,ZZ Boo
268,ZZ Boo,s,13 56 09.52,+25 55 07.36,F3V,1.5680,0.0100,2.1640,0.0700,3.963,0.028,6930,20,**,ZZ Boo
269,BH Vir,p,13 58 24.86,-01 39 38.95,F8V,1.1780,0.0180,1.2280,0.0500,4.331,0.036,6100,100,**,BH Vir
270,BH Vir,s,13 58 24.86,-01 39 38.95,G5V,1.0500,0.0150,1.1180,0.0400,4.363,0.032,5500,200,**,BH Vir
271,DM Vir,p,14 07 52.43,-11 09 07.49,F7V,1.4540,0.0080,1.7640,0.0170,4.108,0.009,6500,100,*,DM Vir
272,DM Vir,s,14 07 52.43,-11 09 07.49,F7V,1.4480,0.0080,1.7640,0.0170,4.106,0.009,6500,300,*,DM Vir
273,V636 Cen,p,14 16 57.91,-49 56 42.36,G1V,1.0520,0.0050,1.0240,0.0040,4.440,0.004,5900,85,*,V636 Cen
274,V636 Cen,s,14 16 57.91,-49 56 42.36,K2V,0.8540,0.0030,0.8350,0.0040,4.526,0.004,5000,100,*,V636 Cen
275,Psi Cen,p,14 20 33.43,-37 53 07.06,B9,3.1140,0.0160,3.6340,0.0070,3.811,0.003,10450,300,*,Psi Cen
276,Psi Cen,s,14 20 33.43,-37 53 07.06,A2,1.9090,0.0300,1.8110,0.0040,4.203,0.007,8800,300,*,Psi Cen
277,V1207 Cen,p,14 21 03.20,-32 53 13.26,,1.1320,0.0080,1.9200,0.0600,3.926,0.027,6340,230,2,V1207 Cen
278,V1207 Cen,s,14 21 03.20,-32 53 13.26,,1.1340,0.0130,3.0030,0.0260,3.538,0.009,5000,160,2,V1207 Cen
279,AD Boo,p,14 35 12.78,+24 38 21.35,F6V,1.4140,0.0090,1.6140,0.0140,4.173,0.008,6575,120,*,AD Boo
280,AD Boo,s,14 35 12.78,+24 38 21.35,G0V,1.2090,0.0060,1.2180,0.0100,4.349,0.007,6145,120,*,AD Boo
281,GG Lup,p,15 18 56.37,-40 47 17.60,B7V,4.1600,0.1200,2.4200,0.0500,4.290,0.022,13000,300,*,GG Lup
282,GG Lup,s,15 18 56.37,-40 47 17.60,B9V,2.6400,0.1200,1.7900,0.0400,4.354,0.028,10600,300,**,GG Lup
283,GU Boo,p,15 21 55.17,+33 56 04.20,M0,0.6090,0.0070,0.6280,0.0160,4.627,0.023,3920,130,*,GU Boo
284,GU Boo,s,15 21 55.17,+33 56 04.20,M1.5,0.5990,0.0060,0.6250,0.0200,4.624,0.028,3810,130,**,GU Boo
285,AQ Ser,p,15 22 15.18,+02 30 11.09,F5,1.3460,0.0240,2.2810,0.0140,3.851,0.009,6430,100,*,AQ Ser
286,AQ Ser,s,15 22 15.18,+02 30 11.09,F6,1.4170,0.0220,2.4510,0.0270,3.811,0.012,6340,100,*,AQ Ser
287,CV Boo,p,15 26 19.54,+36 58 53.43,G3V,1.0450,0.0130,1.2690,0.0230,4.251,0.017,5760,150,*,CV Boo
288,CV Boo,s,15 26 19.54,+36 58 53.43,G4V,0.9950,0.0120,1.1800,0.0230,4.292,0.018,5670,150,*,CV Boo
289,alpha CrB,p,15 34 41.27,+26 42 52.90,A0V,2.5810,0.0450,3.0590,0.3020,3.879,0.086,9700,200,***,alpha CrB
290,alpha CrB,s,15 34 41.27,+26 42 52.90,G5V,0.9220,0.0250,0.9060,0.0400,4.489,0.040,5800,300,**,alpha CrB
291,RT CrB,p,15 38 03.03,+29 29 13.95,G5IV,1.3440,0.0100,4.2560,0.0740,3.309,0.015,5134,100,2,RT CrB
292,RT CrB,s,15 38 03.03,+29 29 13.95,K0IV,1.3590,0.0090,3.7780,0.0640,3.417,0.015,5781,100,2,RT CrB
293,V335 Ser,p,15 59 05.76,+00 35 44.55,A1V,2.0290,0.0100,2.0390,0.0200,4.127,0.009,9506,289,*,V335 Ser
294,V335 Ser,s,15 59 05.76,+00 35 44.55,A3V,1.8440,0.0200,1.6070,0.0100,4.292,0.007,8872,248,*,V335 Ser
295,EPIC 205030103,p,15 59 50.51,-19 44 37.35,M4,0.3336,0.0022,0.8620,0.0120,4.091,0.012,3200,75,2,EPIC 205030103
